Directorate,Budget Allocation ($K),Q1 Spend ($K),Q2 Spend ($K),Q3 Spend ($K),Q4 Projected ($K),Travel ($K),Contracts ($K),Equipment ($K),Training ($K),Notes
J1 - Manpower & Personnel,2400,580,620,590,610,320,180,0,1900,Includes TDY costs for readiness assessments
J2 - Intelligence,3800,920,980,1050,850,450,1200,800,1350,ISR contract increase in Q3
J3 - Operations,5200,1250,1350,1400,1200,680,1500,1200,1820,Exercise Pacific Sentinel funding included
J4 - Logistics,4100,980,1020,1100,1000,520,1800,900,880,Supply chain audit in Q2
J5 - Plans & Policy,1800,420,440,460,480,380,600,0,820,Includes strategy review workshops
J6 - Communications,3200,780,820,860,740,280,1400,1100,420,Network modernization project
J7 - Training & Exercises,4600,1100,1150,1250,1100,850,800,400,2550,RIMPAC and Balikatan costs
J8 - Resources,1200,280,300,310,310,180,400,0,620,Audit and compliance costs
Surgeon General,1600,380,400,420,400,240,500,300,560,Medical readiness screening program
Staff Judge Advocate,800,190,200,210,200,140,350,0,310,Legal review of SOFAs and agreements
